id,sexm,psp1_1,psp2_1,psp3_1,ssa1_1,ssa2_1,ssa3_1,ssa4_1,ssa5_1,ssa6_1,ssa7_1,psp1_2,psp2_2,psp3_2,ssa1_2,ssa2_2,ssa3_2,ssa4_2,ssa5_2,ssa6_2,ssa7_2,psp1_3,psp2_3,psp3_3,ssa1_3,ssa2_3,ssa3_3,ssa4_3,ssa5_3,ssa6_3,ssa7_3,psp1_4,psp2_4,psp3_4,ssa1_4,ssa2_4,ssa3_4,ssa4_4,ssa5_4,ssa6_4,ssa7_4,psp1_5,psp2_5,psp3_5,ssa1_5,ssa2_5,ssa3_5,ssa4_5,ssa5_5,ssa6_5,ssa7_5
94,0,4,2,4,2,1,2,2,2,2,2,1,1,1,1,1,0,2,2,0,1,1,2,3,3,1,1,1,3,3,4,1,1,1,1,2,0,0,1,0,4,1,3,3,2,1,0,0,0,1,0
95,0,3,2,2,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
97,0,1,4,5,2,2,1,1,1,0,1,3,3,3,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,0,7,5,6,3,3,4,4,4,2,4,4,4,4,2,1,2,1,2,1,2,5,5,4,2,2,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,0,6,6,6,1,1,1,1,1,1,1,5,4,5,2,3,2,3,3,3,3,7,7,7,4,4,4,4,4,4,4,6,6,6,3,3,3,3,3,3,3,6,6,6,2,2,2,2,2,2,2
100,0,5,5,4,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
101,0,7,7,5,3,3,3,2,2,4,1,5,3,2,2,1,1,2,3,1,0,7,4,4,3,2,3,1,3,2,1,7,6,6,3,3,3,4,3,2,0,5,6,5,3,3,3,3,3,1,0
102,0,7,3,2,3,1,2,2,2,2,2,6,1,2,2,1,4,2,1,0,0,5,3,1,1,1,2,3,1,4,4,7,5,2,1,2,1,2,1,1,1,5,3,3,2,2,2,1,3,0,1
103,0,3,6,7,2,2,2,3,3,4,1,5,6,5,3,3,3,3,4,3,3,6,6,5,1,2,2,2,1,1,0,5,5,4,3,2,2,2,2,4,0,5,6,6,3,3,2,2,3,4,1
104,1,7,7,7,4,3,4,4,1,1,1,4,4,7,3,3,3,4,4,2,4,5,5,7,3,3,3,1,2,0,1,4,4,4,3,2,3,1,0,0,0,4,4,7,2,3,1,3,1,0,2
105,0,7,7,7,4,4,4,4,4,4,3,6,6,6,3,3,3,3,3,3,3,6,6,6,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,1,2,3,4,2,2,2,2,2,3,1,3,3,4,0,1,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0,3,1,3,1,1,0,0,1,1,2,1,3,4,2,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,4,4,0,0,0,2,2,1,0
109,0,5,6,5,3,3,3,3,2,2,1,6,5,6,3,4,3,3,2,2,1,7,7,7,3,4,4,3,4,2,1,6,5,6,3,3,1,3,3,1,1,6,7,6,3,2,3,3,2,2,1
110,1,1,2,2,1,0,1,1,1,2,1,3,3,3,1,1,1,1,1,1,0,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
111,1,2,5,3,1,0,0,2,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,2,0,0,1,2,2,2,2,2,2,1,0,0,2,1,1,1,1,1,1,1,1,1,1
112,0,5,6,6,2,3,3,3,2,4,2,3,4,4,3,3,3,3,3,2,2,4,5,3,3,2,3,3,3,3,3,3,3,3,2,2,1,2,2,2,2,4,1,1,2,2,2,2,1,1,1
113,0,1,2,3,2,0,2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,1,1,2,2,2,1,1,1,2,2,2,2,2,2,0,2,0,1,1,1,0,0,1,1,1,0,0
118,0,5,7,4,1,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
119,0,6,5,5,1,2,1,1,0,1,0,5,5,5,2,3,3,3,3,0,0,7,7,5,1,1,3,1,1,0,0,6,6,4,2,2,3,1,2,0,0,5,6,6,2,1,2,0,0,0,0
