"cldq_1","cldq_2","cldq_4","cldq_5","cldq_6","swan_1","swan_2","swan_3","swan_4","swan_5","swan_6","swan_7","swan_8","swan_9","hpc_mean"
2,1,1,1,1,6,7,6,6,7,6,7,7,6,1.05263157894737
3,1,1,1,1,3,4,5,5,3,5,3,4,4,1.73684210526316
1,1,1,1,1,6,6,6,6,6,6,6,6,6,1
3,1,1,2,3,4,4,4,4,4,4,4,4,4,1.42105263157895
1,1,2,2,2,4,4,4,4,4,4,4,4,4,1.31578947368421
1,1,1,1,1,6,6,6,4,5,4,4,4,5,1.36842105263158
1,1,1,1,1,4,4,4,4,4,4,4,4,4,1.73684210526316
3,1,1,1,1,6,6,7,6,5,6,5,5,6,1.31578947368421
3,1,1,2,1,3,4,4,4,3,4,4,4,4,2.36842105263158
2,3,4,4,5,4,4,4,4,3,4,4,4,4,1.36842105263158
2,1,1,1,1,6,6,7,7,5,7,6,5,7,1.21052631578947
1,1,1,3,1,2,2,2,2,2,2,2,2,2,3.10526315789474
3,2,4,5,5,5,6,4,5,6,4,4,5,3,1.73684210526316
2,1,1,1,1,5,5,6,6,6,6,6,4,6,1.26315789473684
2,2,1,1,1,7,7,7,7,7,7,7,7,7,1
2,2,2,2,1,4,5,6,6,4,4,6,4,6,2.05263157894737
1,1,1,1,1,4,4,4,4,4,4,4,3,4,1.16666666666667
3,2,1,1,2,4,4,4,4,4,4,6,4,4,1.05263157894737
1,1,1,1,1,7,5,6,7,7,6,7,6,7,1.21052631578947
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10526315789474
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
5,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05263157894737
1,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36842105263158
1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21052631578947
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52631578947368
3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73684210526316
3,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89473684210526
3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31578947368421
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47368421052632
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36842105263158
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63157894736842
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05263157894737
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05882352941176
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89473684210526
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94736842105263
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36842105263158
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26315789473684
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21052631578947
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63157894736842
1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73684210526316
4,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05263157894737
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63157894736842
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57894736842105
2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52631578947368
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47058823529412
3,4,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42105263157895
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10526315789474
4,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10526315789474
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73684210526316
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89473684210526
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57894736842105
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57894736842105
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52631578947368
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57894736842105
2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73684210526316
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10526315789474
2,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47368421052632
2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31578947368421
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15789473684211
1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21052631578947
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31578947368421
2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57894736842105
1,1,1,1,1,6,6,5,6,7,6,6,6,6,1
